ID,COMMENTS,KEYWORD1,KEYWORD2,KEYWORD3
382,Edmundston and SaintJacques NB August 1314 2004 Tropical storm Bonnie produced significant heavy rain throughout New Brunswick Edmundston and SaintJacques were both hard hit by the torrential rain There was localised flooding basement flooding and road closures in Edmundston and SaintJacques The community of SaintJacques was put on a boil water advisory due to well contamination that resulted from the flooding Edmundston recieved up to 90 mm of rain while 509 mm and 654 mm was reported in Fredricton and St Stephen Flooded roads created dangerous driving conditions for local residents One individual was killed while driving a truck across a shallow stream,saintjacques,august,tropical
383,East Indian Ocean December 26 2004  A powerful 91 magnitude earthquake occured at 0759 local time 100 kilometres west of Sumatra The earthquake triggered a massive tsunamis in the East Indian Ocean Several areas were hit by the tsunamis including Indonesia Sri Lanka southern India Thailand Malaysia the Maldives Bangladesh Burma Mauritius Somalia Kenya Seychelles and Tanzania Due to its proximity to the earthquake epicentre Indonesia was the hardest hit by the tsunami It is estimated that the tsunami travelled 500 kmh across the Indian Ocean before making landfall with Indonesia Foreign Affairs Canada Consular Operations confirmed the deaths of 15 Canadians as well as 6 others that went missing including 5 others that are presumed dead It is estimated that the total death toll of this event is 280931 In Indonesia alone 167 540 people died from the tsunami The earthquake and subsequent tsunami affected approximately five million people aroung the world and 17 million people were displaced from their homes In addition hundreds of thousands of homes and business were destroyed,december,powerful,magnitude
384,Kings County PE December 27 2004 Panmure Island and Basin Head were particularly affected In North Rustico a man was rescued by firefighters from his flooded residence,december,panmure,head
385,North Vancouver BC January 1731 2005  A landslide of mud debris and snow caused by more than 320 mm of rain completely destroyed two homes in North Vancouver  One person died and nearly 100 homes were evacuated  A state of emergency was declared,january,landslide,mud
386,Newfoundland March 3031 2005 Heavy snow affected most of Newfoundland excluding Labrador while the Avalon and Burin peninsulas experienced rain Gander saw 62 cm of snow and Grand FallsWindsor was hit by 60 cm in one day The Burin community of Salt Pond was plagued by over 150 mm of rain StLawrence by over 80 mm and StJohns saw 60 mm of rain Bonavista Bay and Hare Bay were also affected,march,heavy,snow
387,Kashechewan ON April 23 2005  Nearly 200 people were flown out of the remote First Nations reserve in northern Ontario to Moosonee after flooding filled 39 basements with raw sewage  Spring flooding on the Albany River caused the sewage system to back up and contaminated the community water system,april,people,flown
388,Southern New Brunswick April 9 to May 15 2005  Several days of rain caused flooding in the communities of Jemseg Sheffield Maugerville and Fredicton and forced approximately 40 families approximately 120 individuals to evacuate their riverside homes  Several families remained stranded in their homes as all roads were washed out For many families the only way to leave their property was by canoe  Due to high water levels the highway between Fredericton and Saint John remained blocked for many days,april,days,rain
389,Fort Good Hope NT May 1114 2005 Jackfish Creek and Rabbitskin River rose to the point that 10 families and 8 seniors had to leave their Fort Good Hope homes A state of emergency was declared,jackfish,rabbitskin,rose
390,Bridgewater NS May 2527 2005 By May 27 a total of 383 mm of rain had fallen in Nova Scotias Fancy Lake watershed region causing overland flooding in a number of communities  A local state of emergency was declared and approximately 100 people were evacuated,total,mm,rain
391,Chisasibi QC May 29 2005 Forest fire forced about 600 people in the Cree community of Chisasibi to be evacuated to the nearby village of Radisson  The fire was human caused and was started within 1 kilometre of the town  Evacuees were able to return to their homes by May 30,forest,fire,forced
392,Manitoba June 2 2005 Manitoba received between 100175 mm of rain resulting in severe flooding  Regional municipalities of Daly Sifton Blanshard Strathclair and Woodworth as well as the towns of Oak Lake and Rivers encountered major problems of seepage and basement flooding damage to municipal roads and overland flooding of agricultural lands  Fortyfour provincial highways and over 100 municipal roads were damaged  Approximately 380 homes and 19 families approximately 1197 individuals were forced out of their homes due to the flooding  Thirteen municipalities declared a local state of emergency and more than 100 requested disaster financial assistance The cost of the flood was estimated at more than 350 million including crop damage,june,received,mm
393,Chibougamau and James Bay QC June 6 2005  In Northern Quebec a forest fire near Chibougamau forced the evacuation of approximately 200 residents  Approximately 650 HydroQuebec workers were airlifted in an evacuation operation in the James Bay area due to another forest fire There were 57 active forest fires in Quebec at the time  Forest fires have destroyed approximately 170000 hectares of forest in Quebec this year,june,forest,fire
394,Cumberland House Cree First Nation SK June 23 2005  Approximately 2000 residents of Cumberland House were evacuated to Prince Albert after the Saskatchewan River began flooding  Saskatchewan Environment issued a boil water advisory for the residents Movement of most ferries on the North and South Saskatchewan rivers was suspended,june,approximately,residents
395,Kelowna  BC August 28 2005  A 25hectare forest fire was reported in Rose Valley near Kelowna  Approximately 75 homes in the subdivision were evacuated and about 528 people registered with emergency social services after the evacuation order  No injuries or casualties were reported,august,hectare,forest
396,Quebec August 31 2005  The aftermath of Hurricane Katrina was felt in Quebec where heavy rain hit the BasseCoteNord region The region received 80 to 100 mm of rain Over flown rivers and washed out culverts were seen in the towns of Vanier and Charlesbourg These events led to flooding August 31 was the wettest day that month for the Montreals Pierre Elliott Trudeau Airport as well as the wettest August day for Quebec City,august,aftermath,hurricane
